FC000384,"조성주, 조연주, 이윤서","",2025.01.18,영산아트홀 (영산아트홀),서양음악(클래식),PF256522,소프라노 조성주 귀국 독창회,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256522_241231_0213170.jpg""}","전석 20,000원",1시간 40분,2025.01.18,토요일(19:30)
FC000402,"","문상훈, 한솔, 성재윤 등",2025.01.11,두산아트센터 (Space111),연극,PF256041,"이태원 트랜스젠더, 클럽 2F","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256041_241219_1117170.jpg""}",전석무료,1시간 30분,2025.01.09,"목요일 ~ 금요일(19:30), 토요일(15:00)"
FC000405,"오현용, 이상열, 장철준, 김재빈, 박은정, 변정란, 이성경 등","김순화, 윤상호, 신현민 등",2025.01.18,충주시문화회관 (충주시문화회관),서양음악(클래식),PF256401,레스큐 [충주],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256401_241230_1029530.jpg""}","R석 30,000원, S석 20,000원, 일반석 10,000원",1시간,2025.01.18,토요일(16:00)
FC000420,"",전지훈,2025.02.23,5.18기념문화센터 (민주홀),뮤지컬,PF256441,신데렐라 [광주],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256441_241230_0115250.jpg""}","전석 40,000원",55분,2025.02.23,"일요일(13:00,15:00,17:00)"
FC000424,"한지호, 주현정","",2025.03.08,당진문예의전당 (소공연장),서커스/마술,PF256483,구구쌤의 매직쑈라구 [당진],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256483_241231_1007470.jpg""}","전석 40,000원",1시간,2025.03.08,"토요일(11:00,14:00,16:00)"
FC000437,"","이종은, 김온",2025.02.22,천안시성환문화회관 (대공연장),뮤지컬,PF256455,"앤서니 브라운, 우리가족 [천안]","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256455_241230_0200210.jpg""}","전석 50,000원",55분,2025.02.22,"토요일(11:00,14:00,16:00)"
FC000474,"구모영, 홍주영, 김재형 등","",2025.01.09,천안시청 봉서홀 (천안시청 봉서홀),서양음악(클래식),PF256110,천안시립교향악단 신년음악회 [천안],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256110_241220_0518080.jpg""}","전석 10,000원",1시간 30분,2025.01.09,목요일(19:30)
FC000477,이승환,"",2025.03.08,한국소리문화의전당 (모악당),대중음악,PF256432,이승환 35주년 콘서트: HEAVEN [전주],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256432_241230_1223550.jpg""}","R석 154,000원, S석 132,000원",2시간,2025.03.08,토요일(17:00)
FC000497,최형배,최형배,2025.03.02,부산시민회관 (소극장),서커스/마술,PF256071,마술사 최형배의 오리지널 과학마술콘서트: 공룡편 [부산],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256071_241219_0210530.jpg""}","전석 40,000원",1시간 5분,2025.03.01,"토요일 ~ 일요일(11:00,14:00)"
FC000517,"","",2025.01.22,경주예술의전당 (대공연장(화랑홀)),서양음악(클래식),PF255950,빈 소년 합창단 신년 콘서트 [경주],"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255950_241217_0102301.gif"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255950_241217_0102300.jpg""]}","R석 50,000원, S석 40,000원, 시야제한석 20,000원",1시간 40분,2025.01.22,수요일(20:00)
FC000518,라이너 호넥 등,라이너 호넥,2025.02.07,구미시문화예술회관 (대공연장),서양음악(클래식),PF256142,"구미 신년음악회, 빈 베를린 체임버오케스트라","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256142_241223_1052190.jpg""}","R석 50,000원, S석 40,000원, A석 30,000원",1시간 30분,2025.02.07,금요일(19:30)
FC000564,"","",2025.02.15,복사골문화센터 (아트홀),뮤지컬,PF256085,겨울왕국: 겨울이야기 [부천],"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256085_241220_0346151.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256085_241220_0346150.jpg""]}","전석 40,000원",1시간,2025.02.15,"토요일(11:00,13:00,15:00)"
FC000567,김완중,"",2025.01.10,꿈의숲아트센터 (콘서트홀),서양음악(클래식),PF256519,김완중 피아노 독주회,"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256519_241231_0139131.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256519_241231_0139130.jpg""]}",전석무료,1시간 30분,2025.01.10,금요일(20:00)
FC000783,"김유미, 김광현 등","",2025.01.17,구로아트밸리 (예술극장),서양음악(클래식),PF256250,"구로문화재단 신년음악회: 베이스 바리톤 사무엘 윤, 소프라노 김유미","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256250_241224_0205320.jpg""}","전석 10,000원",1시간 10분,2025.01.17,금요일(19:30)
FC000788,"김승민, 김민제, 윤소진, 박원빈, 최대웅, 박상아, 서보경 등","",2025.02.22,마포아트센터 (플레이맥),대중음악,PF256453,재즈 더 하드보일드: 마일스 데이비스,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256453_241230_0151550.jpg""}","R석 60,000원, S석 50,000원",3시간,2025.02.22,토요일(18:00)
FC000798,"박범석, 양현아, 이서영, 권승연, 현해민, 이은혜, 김나라 등","김진영, 최성은, 최인수 등",2025.01.12,산울림소극장 (산울림소극장),연극,PF256054,숨바꼭질,"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256054_241227_0554452.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256054_241227_0554451.jpg""]}","전석 30,000원",1시간 10분,2025.01.10,"금요일(20:00), 토요일 ~ 일요일(16:00,19:00)"
FC000808,"안두현, 양성원 등","",2025.01.23,과천시민회관 (대극장),서양음악(클래식),PF256438,"제153회 과천시립교향악단 콘서트시리즈 1, 신년음악회","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256438_241230_0104501.png""}","전석 10,000원",1시간 25분,2025.01.23,목요일(19:30)
FC000810,"이윤희, 박보영, 남호윤, 이승준","서홍석, 박수경, 임서정 등",2025.01.26,흰물결아트센터 (예술극장),뮤지컬,PF256008,허풍선이 남작 AI 미술쇼,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256008_241218_0135560.png""}","전석 50,000원",1시간 05분,2025.01.03,"수요일 ~ 금요일(11:00,14:00), 토요일 ~ 일요일(11:00,14:00)"
FC000819,"박세린, 전원희, 정세리, 강태욱, 김혜경, 김소연, 양인성 등","이은결, 홍승희, 김동연 등",2025.03.16,고양어울림누리 (어울림극장),뮤지컬,PF256448,사랑의 하츄핑 [고양],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256448_241230_0137540.jpg""}","R석 70,000원, S석 60,000원",1시간 10분,2025.03.15,"토요일 ~ 일요일(11:00,14:00,16:30)"
FC000826,김재원 등,"",2025.03.29,예울마루 (대극장),서양음악(클래식),PF256381,히사이시 조 영화음악 콘서트 [여수],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256381_241227_0210500.jpg""}","R석 120,000원, S석 90,000원, A석 60,000원, B석 40,000원",2시간,2025.03.29,토요일(15:00)
FC000827,"","",2025.02.22,부산북구문화예술회관 (구.북구문화빙상센터) (공연장),서커스/마술,PF256481,스노우 컬러 버블쇼 [부산],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256481_241231_1001150.jpg""}","R석 40,000원",1시간,2025.02.22,"토요일(13:00,15:00,17:00)"
FC000832,"장예지, 이혜경, 변은석, 김성민","",2025.01.23,해운대문화회관 (해운홀),서양음악(클래식),PF256500,앙상블 튠의 The Romantic [부산 해운대],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256500_241231_1126180.jpg""}","전석 10,000원",1시간 10분,2025.01.23,목요일(19:30)
FC000840,"","",2025.02.22,계양문화회관 (대공연장),뮤지컬,PF256024,라푼젤 [계양],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256024_241219_1017440.jpg""}","사전예약 24,800원",55분,2025.02.22,"토요일(11:00,14:00)"
FC000885,이승환,"",2025.03.02,성산아트홀 (대극장),대중음악,PF256234,이승환 35주년 콘서트: HEAVEN [창원],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256234_241224_1255000.jpg""}","R석 154,000원, S석 132,000원",2시간,2025.03.02,일요일(17:00)
FC000934,"","",2025.02.23,평택시남부문예회관 (대공연장),뮤지컬,PF256243,책 먹는 여우 [평택남부],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256243_241224_0131130.jpg""}","전석 30,000원",55분,2025.02.23,"일요일(12:00,14:00,16:00)"
FC001085,"박지우, 윤이솜, 이지혜","오세곤, 이준호, 김선영 등",2025.01.19,소극장 혜화당(구. 까망소극장) (소극장 혜화당(구. 까망소극장)),연극,PF256439,"제1회 123 페스티벌, 하녀들","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256439_241230_0104070.jpg""}","전석 30,000원",1시간 40분,2025.01.14,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(15:00)"
FC001091,"김수원, 이환범, 김미나, 이다슬, 김정용, 장용석, 이송이 등","박광복, 장용석, 고유 등",2025.01.05,대학로 스카이씨어터 (2관(5층 구 JK아트홀)),연극,PF256016,그녀와의 투쟁,"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256016_241219_0938290.jpg""}","전석 40,000원",1시간 20분,2024.12.24,"월요일 ~ 화요일(19:30), 목요일 ~ 금요일(19:30), 토요일(15:00,18:00), 일요일(15:00), "
FC001134,"","",2025.02.16,아신극장 (2관 (2층)),연극,PF255996,흉터 [대전],"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255996_241218_1225261.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255996_241218_1225260.jpg""]}","전석 40,000원",1시간 30분,2025.01.09,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(15:00,18:00)"
FC001166,"","",2025.03.22,현대예술관 (대공연장),무용,PF256503,"유니버설발레단, 지젤 [울산]","{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256503_241231_1136201.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256503_241231_1136200.jpg""]}","VIP석 110,000원, R석 99,000원, A석 77,000원, B석 55,000원",2시간,2025.03.21,"금요일(19:30), 토요일(14:00)"
